Pixel-X,Pixel-Y,Longitude,Latitude,chlor_a,sst
0.5,0.5,123.2708282,-4.854166667,0.36639985,27.39
1.5,0.5,123.3124949,-4.854166667,0.3314056,27.335
2.5,0.5,123.3541616,-4.854166667,0.3208668,27.33
3.5,0.5,123.3958282,-4.854166667,0.34004024,27.224998
4.5,0.5,123.4374949,-4.854166667,0.37527052,27.109999
5.5,0.5,123.4791616,-4.854166667,0.34130543,26.965
6.5,0.5,123.5208282,-4.854166667,0.32663637,26.98
7.5,0.5,123.5624949,-4.854166667,0.38354355,26.92
8.5,0.5,123.6041616,-4.854166667,0.3396457,26.925
9.5,0.5,123.6458282,-4.854166667,0.3356857,26.914999
10.5,0.5,123.6874949,-4.854166667,0.34642467,27.01
11.5,0.5,123.7291616,-4.854166667,0.35590476,26.99
12.5,0.5,123.7708282,-4.854166667,0.3631412,26.935
13.5,0.5,123.8124949,-4.854166667,0.36341387,26.904999
14.5,0.5,123.8541616,-4.854166667,0.3686722,26.73
15.5,0.5,123.8958282,-4.854166667,0.37353772,26.695
16.5,0.5,123.9374949,-4.854166667,0.3745407,26.715
17.5,0.5,123.9791616,-4.854166667,0.36387536,26.705
18.5,0.5,124.0208282,-4.854166667,NaN,26.555
19.5,0.5,124.0624949,-4.854166667,NaN,26.465
20.5,0.5,124.1041616,-4.854166667,0.38368583,26.519999
21.5,0.5,124.1458282,-4.854166667,0.33362436,26.55
22.5,0.5,124.1874949,-4.854166667,0.35622418,26.615
23.5,0.5,124.2291616,-4.854166667,0.40568316,26.64
24.5,0.5,124.2708282,-4.854166667,0.4212978,26.695
25.5,0.5,124.3124949,-4.854166667,0.41724482,26.755
26.5,0.5,124.3541616,-4.854166667,0.40684834,26.71
27.5,0.5,124.3958282,-4.854166667,0.4130979,26.625
28.5,0.5,124.4374949,-4.854166667,0.38687834,26.545
29.5,0.5,124.4791616,-4.854166667,0.35223773,26.55
30.5,0.5,124.5208282,-4.854166667,0.33977932,26.654999
31.5,0.5,124.5624949,-4.854166667,0.29256043,26.68
32.5,0.5,124.6041616,-4.854166667,0.29687905,26.74
33.5,0.5,124.6458282,-4.854166667,0.31718466,26.71
34.5,0.5,124.6874949,-4.854166667,0.32617396,26.644999
35.5,0.5,124.7291616,-4.854166667,0.33770633,26.574999
36.5,0.5,124.7708282,-4.854166667,0.3015002,26.539999
37.5,0.5,124.8124949,-4.854166667,0.29341027,26.5
38.5,0.5,124.8541616,-4.854166667,0.31825534,26.449999
39.5,0.5,124.8958282,-4.854166667,0.35302833,26.439999
40.5,0.5,124.9374949,-4.854166667,0.4258922,26.494999
41.5,0.5,124.9791616,-4.854166667,0.43950912,26.484999
42.5,0.5,125.0208282,-4.854166667,0.41474053,26.41
43.5,0.5,125.0624949,-4.854166667,0.35255498,26.449999
44.5,0.5,125.1041616,-4.854166667,0.32328814,26.49
45.5,0.5,125.1458282,-4.854166667,0.32095855,26.55
46.5,0.5,125.1874949,-4.854166667,0.29274946,26.59
47.5,0.5,125.2291616,-4.854166667,0.31287172,26.535
48.5,0.5,125.2708282,-4.854166667,0.3276415,26.519999
49.5,0.5,125.3124949,-4.854166667,0.34228045,26.49
0.5,1.5,123.2708282,-4.895833333,0.32132018,27.359999
1.5,1.5,123.3124949,-4.895833333,0.3186037,27.275
2.5,1.5,123.3541616,-4.895833333,0.30748406,27.275
3.5,1.5,123.3958282,-4.895833333,0.34730136,27.21
4.5,1.5,123.4374949,-4.895833333,0.38035637,27.144999
5.5,1.5,123.4791616,-4.895833333,0.38293773,27.099998
6.5,1.5,123.5208282,-4.895833333,0.3446579,27.095
7.5,1.5,123.5624949,-4.895833333,0.3004201,27
8.5,1.5,123.6041616,-4.895833333,0.30528757,26.96
9.5,1.5,123.6458282,-4.895833333,0.33523247,27.005
10.5,1.5,123.6874949,-4.895833333,0.34065542,26.984999
11.5,1.5,123.7291616,-4.895833333,0.35878497,26.91
12.5,1.5,123.7708282,-4.895833333,0.35645744,26.83
13.5,1.5,123.8124949,-4.895833333,0.36291435,26.835
14.5,1.5,123.8541616,-4.895833333,0.38032028,26.685
15.5,1.5,123.8958282,-4.895833333,0.37730828,26.67
16.5,1.5,123.9374949,-4.895833333,0.377187,26.63
17.5,1.5,123.9791616,-4.895833333,0.3660504,26.619999
18.5,1.5,124.0208282,-4.895833333,0.3660574,26.529999
19.5,1.5,124.0624949,-4.895833333,0.36639154,26.49
20.5,1.5,124.1041616,-4.895833333,0.2848312,26.574999
21.5,1.5,124.1458282,-4.895833333,0.31946927,26.619999
22.5,1.5,124.1874949,-4.895833333,0.34059075,26.605
23.5,1.5,124.2291616,-4.895833333,0.37231246,26.619999
24.5,1.5,124.2708282,-4.895833333,0.3933362,26.65
25.5,1.5,124.3124949,-4.895833333,0.39830503,26.71
26.5,1.5,124.3541616,-4.895833333,0.40260953,26.635
27.5,1.5,124.3958282,-4.895833333,0.39206916,26.675
28.5,1.5,124.4374949,-4.895833333,0.39286533,26.66
29.5,1.5,124.4791616,-4.895833333,0.31526622,26.67
30.5,1.5,124.5208282,-4.895833333,0.3079734,26.605
31.5,1.5,124.5624949,-4.895833333,0.32310498,26.65
32.5,1.5,124.6041616,-4.895833333,0.30020833,26.654999
33.5,1.5,124.6458282,-4.895833333,0.30269533,26.635
34.5,1.5,124.6874949,-4.895833333,0.33261755,26.51
35.5,1.5,124.7291616,-4.895833333,0.34066007,26.49
36.5,1.5,124.7708282,-4.895833333,0.31205875,26.555
37.5,1.5,124.8124949,-4.895833333,0.29716307,26.49
38.5,1.5,124.8541616,-4.895833333,0.29581654,26.439999
39.5,1.5,124.8958282,-4.895833333,0.33484,26.42
40.5,1.5,124.9374949,-4.895833333,0.41399154,26.5
41.5,1.5,124.9791616,-4.895833333,0.42798737,26.425
42.5,1.5,125.0208282,-4.895833333,0.3865122,26.38
43.5,1.5,125.0624949,-4.895833333,0.34356412,26.46
44.5,1.5,125.1041616,-4.895833333,0.3286837,26.505
45.5,1.5,125.1458282,-4.895833333,0.3343128,26.529999
46.5,1.5,125.1874949,-4.895833333,0.34658957,26.59
47.5,1.5,125.2291616,-4.895833333,0.35424337,26.595
48.5,1.5,125.2708282,-4.895833333,0.32666636,26.539999
49.5,1.5,125.3124949,-4.895833333,0.31678313,26.494999
0.5,2.5,123.2708282,-4.9375,0.30115998,27.39
1.5,2.5,123.3124949,-4.9375,0.2978128,27.349998
2.5,2.5,123.3541616,-4.9375,0.304512,27.335
3.5,2.5,123.3958282,-4.9375,0.3367601,27.25
4.5,2.5,123.4374949,-4.9375,0.34465617,27.26
5.5,2.5,123.4791616,-4.9375,0.3244883,27.18
6.5,2.5,123.5208282,-4.9375,0.30345976,27.099998
7.5,2.5,123.5624949,-4.9375,0.29622838,27.015
8.5,2.5,123.6041616,-4.9375,0.31136313,26.945
9.5,2.5,123.6458282,-4.9375,0.3493097,26.96
10.5,2.5,123.6874949,-4.9375,0.3610643,26.93
11.5,2.5,123.7291616,-4.9375,0.35148352,26.81
12.5,2.5,123.7708282,-4.9375,0.36096337,26.845
13.5,2.5,123.8124949,-4.9375,0.38056827,26.755
14.5,2.5,123.8541616,-4.9375,0.39215073,26.865
15.5,2.5,123.8958282,-4.9375,0.39198628,26.84
16.5,2.5,123.9374949,-4.9375,0.35824296,26.805
17.5,2.5,123.9791616,-4.9375,0.36126092,26.74
18.5,2.5,124.0208282,-4.9375,0.37655166,26.66
19.5,2.5,124.0624949,-4.9375,0.3663912,26.505
20.5,2.5,124.1041616,-4.9375,0.33598423,26.455
21.5,2.5,124.1458282,-4.9375,0.33684358,26.525
22.5,2.5,124.1874949,-4.9375,0.33364055,26.43
23.5,2.5,124.2291616,-4.9375,0.3610823,26.529999
24.5,2.5,124.2708282,-4.9375,0.36523405,26.664999
25.5,2.5,124.3124949,-4.9375,0.37543926,26.699999
26.5,2.5,124.3541616,-4.9375,0.40716147,26.73
27.5,2.5,124.3958282,-4.9375,0.3764806,26.664999
28.5,2.5,124.4374949,-4.9375,0.37155446,26.63
29.5,2.5,124.4791616,-4.9375,0.3660073,26.599998
30.5,2.5,124.5208282,-4.9375,0.32276174,26.585
31.5,2.5,124.5624949,-4.9375,0.30352473,26.605
32.5,2.5,124.6041616,-4.9375,0.30107936,26.535
33.5,2.5,124.6458282,-4.9375,0.30280697,26.65
34.5,2.5,124.6874949,-4.9375,0.2836654,26.56
35.5,2.5,124.7291616,-4.9375,0.48144272,26.46
36.5,2.5,124.7708282,-4.9375,0.4326764,26.4
37.5,2.5,124.8124949,-4.9375,0.42249057,26.425
38.5,2.5,124.8541616,-4.9375,0.31973785,26.609999
39.5,2.5,124.8958282,-4.9375,0.32770172,26.609999
40.5,2.5,124.9374949,-4.9375,0.32819322,26.57
41.5,2.5,124.9791616,-4.9375,0.39779362,26.5
42.5,2.5,125.0208282,-4.9375,0.35949418,26.51
43.5,2.5,125.0624949,-4.9375,0.3521782,26.57
44.5,2.5,125.1041616,-4.9375,0.35119727,26.545
45.5,2.5,125.1458282,-4.9375,0.32412612,26.55
46.5,2.5,125.1874949,-4.9375,0.34727195,26.51
47.5,2.5,125.2291616,-4.9375,0.35567418,26.57
48.5,2.5,125.2708282,-4.9375,0.35726246,26.5
49.5,2.5,125.3124949,-4.9375,0.29834327,26.48
0.5,3.5,123.2708282,-4.979166667,0.30370188,27.435
1.5,3.5,123.3124949,-4.979166667,0.29408854,27.39
2.5,3.5,123.3541616,-4.979166667,0.31694576,27.34
3.5,3.5,123.3958282,-4.979166667,0.3418211,27.32
4.5,3.5,123.4374949,-4.979166667,0.34985182,27.234999
5.5,3.5,123.4791616,-4.979166667,0.3317826,27.164999
6.5,3.5,123.5208282,-4.979166667,0.31742695,27.119999
7.5,3.5,123.5624949,-4.979166667,0.31864226,27.055
8.5,3.5,123.6041616,-4.979166667,0.34833375,26.965
9.5,3.5,123.6458282,-4.979166667,0.3410608,26.955
10.5,3.5,123.6874949,-4.979166667,0.3550237,26.945
11.5,3.5,123.7291616,-4.979166667,0.34209773,26.894999
12.5,3.5,123.7708282,-4.979166667,0.338862,26.805
13.5,3.5,123.8124949,-4.979166667,0.33822888,26.705
14.5,3.5,123.8541616,-4.979166667,0.37170795,26.855
15.5,3.5,123.8958282,-4.979166667,0.37177,26.765
16.5,3.5,123.9374949,-4.979166667,0.37320387,26.765
17.5,3.5,123.9791616,-4.979166667,0.34693846,26.695
18.5,3.5,124.0208282,-4.979166667,0.35911894,26.615
19.5,3.5,124.0624949,-4.979166667,0.35242307,26.585
20.5,3.5,124.1041616,-4.979166667,0.3431448,26.525
21.5,3.5,124.1458282,-4.979166667,0.36222035,26.505
