chlor_a,ss
0.36639985,27.39
0.3314056,27.335
0.3208668,27.33
0.34004024,27.224998
0.37527052,27.109999
0.34130543,26.965
0.32663637,26.98
0.38354355,26.92
0.3396457,26.925
0.3356857,26.914999
0.34642467,27.01
0.35590476,26.99
0.3631412,26.935
0.36341387,26.904999
0.3686722,26.73
0.37353772,26.695
0.3745407,26.715
0.36387536,26.705
NaN,26.555
NaN,26.465
0.38368583,26.519999
0.33362436,26.55
0.35622418,26.615
0.40568316,26.64
0.4212978,26.695
0.41724482,26.755
0.40684834,26.71
0.4130979,26.625
0.38687834,26.545
0.35223773,26.55
0.33977932,26.654999
0.29256043,26.68
0.29687905,26.74
0.31718466,26.71
0.32617396,26.644999
0.33770633,26.574999
0.3015002,26.539999
0.29341027,26.5
0.31825534,26.449999
0.35302833,26.439999
0.4258922,26.494999
0.43950912,26.484999
0.41474053,26.41
0.35255498,26.449999
0.32328814,26.49
0.32095855,26.55
0.29274946,26.59
0.31287172,26.535
0.3276415,26.519999
0.34228045,26.49
0.32132018,27.359999
0.3186037,27.275
0.30748406,27.275
0.34730136,27.21
0.38035637,27.144999
0.38293773,27.099998
0.3446579,27.095
0.3004201,27
0.30528757,26.96
0.33523247,27.005
0.34065542,26.984999
0.35878497,26.91
0.35645744,26.83
0.36291435,26.835
0.38032028,26.685
0.37730828,26.67
0.377187,26.63
0.3660504,26.619999
0.3660574,26.529999
0.36639154,26.49
0.2848312,26.574999
0.31946927,26.619999
0.34059075,26.605
0.37231246,26.619999
0.3933362,26.65
0.39830503,26.71
0.40260953,26.635
0.39206916,26.675
0.39286533,26.66
0.31526622,26.67
0.3079734,26.605
0.32310498,26.65
0.30020833,26.654999
0.30269533,26.635
0.33261755,26.51
0.34066007,26.49
0.31205875,26.555
0.29716307,26.49
0.29581654,26.439999
0.33484,26.42
0.41399154,26.5
0.42798737,26.425
0.3865122,26.38
0.34356412,26.46
0.3286837,26.505
0.3343128,26.529999
0.34658957,26.59
0.35424337,26.595
0.32666636,26.539999
0.31678313,26.494999
0.30115998,27.39
0.2978128,27.349998
0.304512,27.335
0.3367601,27.25
0.34465617,27.26
0.3244883,27.18
0.30345976,27.099998
0.29622838,27.015
0.31136313,26.945
0.3493097,26.96
0.3610643,26.93
0.35148352,26.81
0.36096337,26.845
0.38056827,26.755
0.39215073,26.865
0.39198628,26.84
0.35824296,26.805
0.36126092,26.74
0.37655166,26.66
0.3663912,26.505
0.33598423,26.455
0.33684358,26.525
0.33364055,26.43
0.3610823,26.529999
0.36523405,26.664999
0.37543926,26.699999
0.40716147,26.73
0.3764806,26.664999
0.37155446,26.63
0.3660073,26.599998
0.32276174,26.585
0.30352473,26.605
0.30107936,26.535
0.30280697,26.65
0.2836654,26.56
0.48144272,26.46
0.4326764,26.4
0.42249057,26.425
0.31973785,26.609999
0.32770172,26.609999
0.32819322,26.57
0.39779362,26.5
0.35949418,26.51
0.3521782,26.57
0.35119727,26.545
0.32412612,26.55
0.34727195,26.51
0.35567418,26.57
0.35726246,26.5
0.29834327,26.48
0.30370188,27.435
0.29408854,27.39
0.31694576,27.34
0.3418211,27.32
0.34985182,27.234999
0.3317826,27.164999
0.31742695,27.119999
0.31864226,27.055
0.34833375,26.965
0.3410608,26.955
0.3550237,26.945
0.34209773,26.894999
0.338862,26.805
0.33822888,26.705
0.37170795,26.855
0.37177,26.765
0.37320387,26.765
0.34693846,26.695
0.35911894,26.615
0.35242307,26.585
0.3431448,26.525
0.36222035,26.505
0.3806812,26.55
0.37684608,26.68
0.365021,26.724998
0.37433967,26.785
0.37054482,26.734999
0.38679194,26.64
0.396356,26.564999
0.32358807,26.519999
0.3015879,26.56
0.3072785,26.605
0.31065008,26.59
0.31004307,26.699999
0.51595134,26.609999
0.50111645,26.55
0.3830562,26.465
0.42253774,26.505
0.3414622,26.644999
0.3419356,26.55
0.36072546,26.38
0.3977918,26.375
0.3592852,26.465
0.35817042,26.46
0.33350617,26.48
0.3281802,26.574999
0.33589265,26.545
0.36637175,26.525
0.40658703,26.519999
0.34289953,26.585
0.2868102,27.43
0.29801643,27.365
0.31339583,27.314999
0.3210878,27.279999
0.3160626,27.285
0.31231272,27.224998
0.3120974,27.135
0.32293096,27.029999
0.34324676,26.98
0.34837672,27.039999
0.35420632,27.09
0.35367587,26.994999
0.3552774,26.894999
0.3586415,26.955
0.34027296,26.875
0.31939882,26.82
0.32149634,26.769999
0.31835017,26.654999
0.3675666,26.58
0.36668614,26.545
0.36104736,26.529999
0.36085996,26.46
0.3469898,26.585
0.34454075,26.57
0.35281932,26.619999
0.37375373,26.689999
0.36707246,26.654999
0.36403894,26.675
0.36677963,26.619999
0.3386981,26.605
0.3160726,26.59
0.30956137,26.67
0.3123164,26.724998
0.29082838,26.689999
0.2773596,26.734999
0.31176254,26.72
0.3497179,26.73
0.34132197,26.795
0.32041898,26.64
0.34443247,26.49
0.35913688,26.439999
0.3752478,26.375
0.3698178,26.314999
0.3279892,26.445
0.3136955,26.484999
0.31483185,26.535
0.3155898,26.525
0.31845003,26.555
0.33154616,26.599998
0.33804753,26.58
0.28827274,27.55
0.28873512,27.445
0.29753187,27.349998
0.30476138,27.3
0.30744863,27.275
0.3124763,27.215
0.31480274,27.109999
0.3247816,27.029999
0.33829397,26.939999
0.33433554,26.935
0.3552902,26.92
0.35367593,26.82
0.3615067,26.769999
0.32442537,26.81
0.31260824,26.89
0.3288068,26.845
0.32339472,26.705
0.3353056,26.64
0.35459894,26.58
0.36274117,26.58
0.3639038,26.599998
0.33710647,26.64
0.32677847,26.64
0.35480133,26.615
0.35615408,26.574999
0.3550827,26.609999
0.35916117,26.65
0.3875545,26.635
0.38003883,26.605
0.38012692,26.66
0.3630913,26.664999
0.29261398,26.689999
0.2922965,26.73
0.29604456,26.724998
0.2965792,26.74
0.3069907,26.83
0.3358478,26.855
0.33746195,26.789999
0.34725788,26.609999
0.3503365,26.529999
0.35933933,26.519999
0.3654661,26.505
0.36057296,26.455
0.33467752,26.48
0.32146326,26.51
0.32941398,26.529999
0.33132067,26.515
0.33488,26.494999
0.34133992,26.505
0.35472053,26.48
0.3035421,27.529999
0.2994906,27.47
0.3085366,27.385
0.32557943,27.279999
0.33561116,27.189999
0.3379511,27.15
0.33486113,27.08
0.33280125,27.029999
0.33255652,26.96
0.34004733,26.885
0.34620854,26.82
NaN,26.744999
0.36150718,26.769999
0.25252992,26.785
0.25148258,26.789999
0.26949978,26.824999
0.3100602,26.765
0.37630168,26.625
0.3708049,26.585
0.36148012,26.564999
0.3553937,26.619999
0.3368191,26.664999
0.32723996,26.699999
0.35989657,26.644999
0.35597992,26.644999
0.35298374,26.635
0.3742931,26.644999
0.39159894,26.635
0.3871579,26.625
0.3775983,26.715
0.3427585,26.74
0.3187371,26.76
0.30839574,26.715
0.3209061,26.71
0.32185978,26.765
0.33200768,26.789999
0.33151457,26.74
0.33662546,26.635
0.35523388,26.574999
0.37579098,26.494999
0.36141357,26.425
0.40100846,26.38
0.3138036,26.38
0.3185894,26.414999
0.33594316,26.385
0.35867038,26.365
0.35081384,26.39
